gameId,finishedAt,createdAt,sequence,numBlocks,condition,name,playerCount,selectionDuration,rounds,feedbackDuration,numTargets,repsPerBlock,partial,scale,chatEnabled,gameLength,pilot
2yX3k7DkPSWGee3q9,2021-07-19T18:54:14Z,2021-07-19T18:10:43Z,"red,white,purple,yellow",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,2610,FALSE
5oqcuFaDgbZ4pAnvK,2021-07-19T18:26:52Z,2021-07-19T18:16:38Z,"white,yellow,purple,red",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,613,FALSE
67qxzPDuhEbrkhDLF,2021-07-19T19:02:52Z,2021-07-19T18:15:35Z,"red,yellow,white,purple",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,2837,FALSE
9TpHt9H5Ny6HzH8x7,2021-07-19T18:44:22Z,2021-07-19T18:10:02Z,"red,purple,white,yellow",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,2059,FALSE
bJL8HJjyykG9B4k9C,2021-07-19T19:37:37Z,2021-07-19T18:25:15Z,"white,yellow,purple,red",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,4341,FALSE
BnjjYk9ZdKgDLA4S6,2021-07-19T18:17:27Z,2021-07-19T18:17:15Z,"red,yellow,white,purple",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,11,FALSE
Cigs3SXFkL23Nx7Ga,2021-07-19T18:23:00Z,2021-07-19T18:15:18Z,"yellow,red,purple,white",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,462,FALSE
cSQKJg27EPsQNjHWs,2021-07-19T19:11:33Z,2021-07-19T18:56:54Z,"yellow,purple,white,red",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,878,FALSE
ExXQbCn35Xznf9tM5,2021-07-19T19:35:17Z,2021-07-19T18:13:15Z,"yellow,red,white,purple",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,4922,FALSE
L4kC4a6Nbzrj5Ke5L,2021-07-19T18:19:24Z,2021-07-19T18:11:18Z,"yellow,red,white,purple",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,485,FALSE
N5htAi8ezBg3neBKP,2021-07-19T18:19:08Z,2021-07-19T18:11:37Z,"red,white,purple,yellow",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,450,FALSE
ojE6tc9tdnASfLGDs,2021-07-19T18:57:31Z,2021-07-19T18:12:00Z,"red,white,yellow,purple",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,2730,FALSE
qFsHNsbrf5Mu6WnQM,2021-07-19T18:18:00Z,2021-07-19T18:09:43Z,"purple,white,yellow,red",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,496,FALSE
sdRkHdBCdbxeAehFd,2021-07-19T18:37:56Z,2021-07-19T18:19:08Z,"yellow,white,purple,red",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,1127,FALSE
sTX6ksbxqfnfsmzxe,2021-07-19T19:31:31Z,2021-07-19T18:09:09Z,"yellow,purple,red,white",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,4941,FALSE
woWsWsG64iWMYwDus,2021-07-19T18:23:25Z,2021-07-19T18:08:13Z,"red,yellow,white,purple",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,911,FALSE
xtbRh6y3JMmrerDvx,2021-07-19T18:36:00Z,2021-07-19T18:14:22Z,"yellow,red,white,purple",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,1297,FALSE
ZRbnTDRALnkiCv2fD,2021-07-19T18:21:58Z,2021-07-19T18:12:12Z,"yellow,white,purple,red",4,competCartel,competFullRun0719,3,180,6,5,6,12,true,1.0001,true,586,FALSE
