playerId,gameId,createdAt,age,gender,language,raceWhite,raceBlack,raceAsian,raceNative,raceIslander,raceHispanic,education
9MoiLRqn7HPwSqgrR,hJKEAjqtPge8wn37L,2021-08-20T17:20:11Z,32,male,english,TRUE,NA,NA,NA,NA,NA,highSchool
DsmzPsys378ouAig3,NA,2021-08-20T17:20:25Z,19,male,English,TRUE,NA,NA,NA,NA,NA,highSchool
ibLuXBkRAXPSqC7y6,hJKEAjqtPge8wn37L,2021-08-20T17:20:58Z,36,Female,English,TRUE,NA,NA,NA,NA,NA,master
Y7BwxwRbxbP6Rh8X2,hJKEAjqtPge8wn37L,2021-08-20T17:21:05Z,22,female,English,TRUE,NA,NA,NA,NA,NA,someCollege
Mb8ADEEmP3ZmxxkvW,NA,2021-08-20T17:21:41Z,25,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
AuDmJeBi8t7fuKPx7,aSeqwy83KvRSbvRSS,2021-08-20T17:21:56Z,34,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
3anrrcdtZ5d4PyStT,2F7o2m2ZZj2T4EFzo,2021-08-20T17:22:08Z,29,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
Z4kfRmvwLM6cr47LT,aSeqwy83KvRSbvRSS,2021-08-20T17:22:14Z,30,Male,English,NA,TRUE,NA,NA,NA,NA,master
SCnLaRWo7fh37cMg6,2F7o2m2ZZj2T4EFzo,2021-08-20T17:23:39Z,40,Male,English,TRUE,NA,NA,NA,NA,NA,master
aMMzXKuy8u6TmtYrN,2F7o2m2ZZj2T4EFzo,2021-08-20T17:24:03Z,20,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
Pi9atkCehFgDr8aYN,ztfkP8Mmwm6dy6eve,2021-08-20T17:24:37Z,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,someCollege
HwoMovMdHJmbAckv9,aSeqwy83KvRSbvRSS,2021-08-20T17:24:46Z,39,male,English,TRUE,NA,NA,NA,NA,NA,highSchool
rdy8pn4MpwgznGpRK,ixFj3nhkjNJj4db2i,2021-08-20T17:24:49Z,37,male,NA,TRUE,NA,NA,NA,NA,NA,highSchool
aGof5GaMDuQM25xSc,ixFj3nhkjNJj4db2i,2021-08-20T17:24:58Z,28,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
rJfqdnPq2hfdwWdLL,ztfkP8Mmwm6dy6eve,2021-08-20T17:25:07Z,24,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
68Tew82Qq7SXmNPZT,ixFj3nhkjNJj4db2i,2021-08-20T17:26:19Z,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,lessHighSchool
aGBRxJQY2FY2k3vvR,ztfkP8Mmwm6dy6eve,2021-08-20T17:28:05Z,21,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
JvGLovcH3Aa4yGbQQ,NA,2021-08-20T17:29:02Z,25,Male,NA,NA,TRUE,NA,NA,NA,NA,bachelor
3wbhiiwAHAxz8z5EL,NA,2021-08-20T17:45:44Z,49,female,english,NA,TRUE,NA,NA,NA,NA,bachelor
F9bv4zMkmYKaXyf9N,qp6HK4n2ugpCtonsZ,2021-08-20T17:47:39Z,23,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
GjboTxjwCnTi4WEWM,qp6HK4n2ugpCtonsZ,2021-08-20T17:48:08Z,30,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
GcddPKwivL4JFWX6r,qp6HK4n2ugpCtonsZ,2021-08-20T17:48:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,bachelor
Q9bESc8hgPYqnzx2v,qNm8xpZygmCnYj8rp,2021-08-20T17:49:04Z,31,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
ysMH6WmAmuTADCu5b,qNm8xpZygmCnYj8rp,2021-08-20T17:49:20Z,38,MALE,ENGLISH,TRUE,NA,NA,NA,NA,NA,highSchool
AAKp4BwY6iiD2nkBF,hGRcYSxw4oXPpuiDB,2021-08-20T17:49:55Z,22,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
WFjQ5udMzgWg34aWz,oRHBxXZ2WXgeQaySj,2021-08-20T17:50:28Z,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,someCollege
LobtN9LAFzJDcwYX3,qNm8xpZygmCnYj8rp,2021-08-20T17:50:34Z,23,Female,English,TRUE,NA,NA,NA,NA,NA,master
CS4GSXSEz58nvL3i7,oRHBxXZ2WXgeQaySj,2021-08-20T17:50:44Z,24,female,English,TRUE,NA,NA,NA,NA,NA,master
Jm4BKLLPKhhmWfeGh,oRHBxXZ2WXgeQaySj,2021-08-20T17:50:49Z,NA,Female,British,TRUE,NA,NA,NA,NA,NA,someCollege
3ASftqExPSXeJJA23,hGRcYSxw4oXPpuiDB,2021-08-20T17:50:57Z,20,Non-binary,English,TRUE,NA,NA,NA,NA,NA,someCollege
eWmchrWjpfx42wxKm,mbMCuXP8H4R4x2BHM,2021-08-20T17:51:34Z,18,male,english,NA,NA,TRUE,NA,NA,NA,highSchool
YRXAcJsKMD4NrXF4h,hGRcYSxw4oXPpuiDB,2021-08-20T17:53:18Z,25,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
Pk2f6o9n4Pfqbuf6G,mbMCuXP8H4R4x2BHM,2021-08-20T17:54:31Z,65,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
DSWYfiXRWqEQM8SwB,mbMCuXP8H4R4x2BHM,2021-08-20T17:56:43Z,45,male,English,TRUE,NA,NA,NA,NA,NA,someCollege
