_id,name,value,factorTypeId,createdAt
H6mfXThg4jQ2annbb,minute,60,kJddTH8X4Y6Df7SPA,2021-04-07T01:08:22Z
PhWBYRyqGv7hpZbKm,prolificPilot,3B021164,oTmtc6KmQb77CaDTC,2021-04-07T01:08:22Z
6MrFJYnfziMgRMbZq,lots,200,kJddTH8X4Y6Df7SPA,2021-04-07T01:08:22Z
xWQjpcmpuWmZXGA7P,Triad,3,LWWjuzWJrQhuWuaeh,2021-04-07T01:08:22Z
xWQjpcmpuWmZXGA7Q,Pair,2,LWWjuzWJrQhuWuaeh,2021-04-07T01:08:22Z
xWQjpcmpuWmZXGA7R,Quad,4,LWWjuzWJrQhuWuaeh,2021-04-07T01:08:22Z
WPMyAs4AHQkRbejSw,One,1,uWvpQqxyNi8Dz6CSn,2021-04-07T01:08:22Z
bMLyzSZu2NMqPxMp3,Six,6,uWvpQqxyNi8Dz6CSn,2021-04-07T01:08:22Z
XxGKfzAdshtarMJ8v,five,5,tJ642Av4buu8Q5w73,2021-04-07T01:08:22Z
ivrbpviGCdXTDsEiZ,Four,4,ZkXeabrJhX4KfX8yj,2021-04-07T01:08:22Z
hsiunZ8b68hKxbnPM,Two,2,b5miCkhM6uwYKF2Sn,2021-04-07T01:08:22Z
8s4mWKpqFF83FP3X6,test,LCX2Y5GM,oTmtc6KmQb77CaDTC,2021-04-07T01:08:22Z
pWeADdnYht6s2XmXy,threemin,180,kJddTH8X4Y6Df7SPA,2021-04-07T01:08:22Z
n6akL2KMtAmNNT2MS,All,6,ZkXeabrJhX4KfX8yj,2021-04-07T01:08:22Z
wsDuqNzmgXecXtHLR,Pair,6,b5miCkhM6uwYKF2Sn,2021-04-07T01:08:22Z
N426gB4dWdJiZeyon,April7,63E387C3,oTmtc6KmQb77CaDTC,2021-04-07T01:08:22Z
d9ABRt3W7ZssJnyFZ,true,true,K86LrpQD9kfzZTT7S,2021-04-30T19:13:42Z
8toPT8qHJZqF9fvHz,false,false,K86LrpQD9kfzZTT7S,2021-04-30T19:13:42Z
tbrmbrEbCZovKMq64,setA,setA,NdwKxvtL5ibRjTYBh,2021-04-30T19:13:42Z
BhQi7sMQc7Xn8XfvN,cooperativeCartel,coopCartel,vEbTwwQmrSWHfYeF4,2021-04-30T19:13:42Z
b6Mw4aN3PPoPvg9zQ,Six,6,2YZvnSnu3ft989qpY,2021-04-30T19:13:42Z
Sw72ohJbi6YPGaoij,Twelve,12,dXoDyaNp7iLQGpXsP,2021-04-30T19:13:42Z
ttoh8hn8bSDbSJ3gu,competitiveCartel,competCartel,vEbTwwQmrSWHfYeF4,2021-04-30T19:13:42Z
ShaXLWHc7zKxb7N5Z,One,1,bXvGAr4hy9EPmQ8Kp,2021-04-30T19:13:42Z
9ib83Q4z4ZSEigvvN,one_fifth,0.2,bXvGAr4hy9EPmQ8Kp,2021-04-30T19:13:42Z
